y4_hhid,domain,strataid,clusterid,clustertype,y4_weights,regcode,regname,discode,disname,intdy,intmo,intyr
1554-001,1,13,70225206022,2,2979.50317382813,7,DAR ES SALAAM,2,ILALA,12,1,2015
1555-001,1,13,70225206022,2,2979.50317382813,7,DAR ES SALAAM,2,ILALA,15,1,2015
1556-001,1,13,70225206022,2,2979.50317382813,7,DAR ES SALAAM,2,ILALA,14,1,2015
1557-001,1,13,70225206022,2,2979.50317382813,7,DAR ES SALAAM,2,ILALA,14,1,2015
1559-001,1,13,70225206022,2,2979.50317382813,7,DAR ES SALAAM,2,ILALA,14,1,2015
1570-001,1,13,70302202023,2,1625.18347167969,7,DAR ES SALAAM,3,TEMEKE,19,11,2014
1571-001,1,13,70302202023,2,1625.18347167969,7,DAR ES SALAAM,3,TEMEKE,19,11,2014
1572-001,1,13,70302202023,2,1625.18347167969,7,DAR ES SALAAM,3,TEMEKE,20,11,2014
1573-001,1,13,70302202023,2,1625.18347167969,7,DAR ES SALAAM,3,TEMEKE,20,11,2014
1574-001,1,13,70302202023,2,1625.18347167969,7,DAR ES SALAAM,3,TEMEKE,18,11,2014
1575-001,1,13,70302202023,2,1625.18347167969,7,DAR ES SALAAM,3,TEMEKE,19,11,2014
1576-001,1,13,70302202023,2,1625.18347167969,7,DAR ES SALAAM,3,TEMEKE,19,11,2014
1578-001,1,13,70302202023,2,1625.18347167969,7,DAR ES SALAAM,3,TEMEKE,23,11,2014
1589-001,1,13,70308201042,2,4469.2548828125,7,DAR ES SALAAM,3,TEMEKE,13,2,2015
1590-001,1,13,70308201042,2,4469.2548828125,7,DAR ES SALAAM,3,TEMEKE,14,2,2015
1591-001,1,13,70308201042,2,4469.2548828125,7,DAR ES SALAAM,3,TEMEKE,13,2,2015
1592-001,1,13,70308201042,2,4469.2548828125,7,DAR ES SALAAM,3,TEMEKE,13,2,2015
1593-001,1,13,70308201042,2,4469.2548828125,7,DAR ES SALAAM,3,TEMEKE,13,2,2015
1594-001,1,13,70308201042,2,4469.2548828125,7,DAR ES SALAAM,3,TEMEKE,13,2,2015
1595-001,1,13,70308201042,2,4469.2548828125,7,DAR ES SALAAM,3,TEMEKE,13,2,2015
1596-001,1,13,70308201042,2,4469.2548828125,7,DAR ES SALAAM,3,TEMEKE,13,2,2015
1608-001,1,13,70310201007,2,3673.83056640625,7,DAR ES SALAAM,3,TEMEKE,11,3,2015
1609-001,1,13,70310201007,2,3673.83056640625,7,DAR ES SALAAM,3,TEMEKE,10,3,2015
1610-001,1,13,70310201007,2,3673.83056640625,7,DAR ES SALAAM,3,TEMEKE,11,3,2015
1611-001,1,13,70310201007,2,3673.83056640625,7,DAR ES SALAAM,3,TEMEKE,11,3,2015
1612-001,1,13,70310201007,2,3673.83056640625,7,DAR ES SALAAM,3,TEMEKE,10,3,2015
1613-001,1,13,70310201007,2,3673.83056640625,7,DAR ES SALAAM,3,TEMEKE,10,3,2015
1614-001,1,13,70310201007,2,3673.83056640625,7,DAR ES SALAAM,3,TEMEKE,10,3,2015
1615-001,1,13,70310201007,2,3673.83056640625,7,DAR ES SALAAM,3,TEMEKE,10,3,2015
1627-001,1,13,70311211001,2,3324.23876953125,7,DAR ES SALAAM,3,TEMEKE,23,10,2014
