y4_hhid,domain,strataid,clusterid,clustertype,y4_weights
3686-001,2,9,50505210001,2,7652.7275390625
3687-001,2,9,50505210001,2,7652.7275390625
3689-001,2,9,50505210001,2,7652.7275390625
3690-001,2,9,50505210001,2,7652.7275390625
3698-001,2,9,50510202005,2,3695.14453125
3699-001,2,9,50510202005,2,3695.14453125
3700-001,2,9,50510202005,2,3695.14453125
3701-001,2,9,50510202005,2,3695.14453125
3702-001,2,9,50510202005,2,3695.14453125
3703-001,2,9,50510202005,2,3695.14453125
3704-001,2,9,50510202005,2,3695.14453125
3705-001,2,9,50510202005,2,3695.14453125
3717-001,3,10,50611101008,1,4389.9814453125
3718-001,3,10,50611101008,1,4389.9814453125
3719-001,3,10,50611101008,1,4389.9814453125
3720-001,3,10,50611101008,1,4389.9814453125
3721-001,3,10,50611101008,1,4389.9814453125
3722-001,3,10,50611101008,1,4389.9814453125
3723-001,3,10,50611101008,1,4389.9814453125
3724-001,3,10,50611101008,1,4389.9814453125
3736-001,3,17,90104105003,1,2375.74658203125
3737-001,3,17,90104105003,1,2375.74658203125
3738-001,3,17,90104105003,1,2375.74658203125
3739-001,3,17,90104105003,1,2375.74658203125
3740-001,3,17,90104105003,1,2375.74658203125
3741-001,3,17,90104105003,1,2375.74658203125
